detail_id,detail_name,detail_name_norm
1,(공과대학)광역,공과대학광역
2,1인미디어디지털아트과,1인미디어디지털아트과
3,1인미디어학과,1인미디어학과
4,2차전지소재부품과,2차전지소재부품과
5,2차전지재료학과,2차전지재료학과
6,3D NFT 캐릭터,3dnft캐릭터
7,3D NFT 캐릭터디자인과,3dnft캐릭터디자인과
8,3D디자인게임애니메이션학부,3d디자인게임애니메이션학부
9,3D모델리버스엔지니어링과,3d모델리버스엔지니어링과
10,3D모델링과,3d모델링과
11,3D실용주얼리창업과,3d실용주얼리창업과
12,3D융합설계학과,3d융합설계학과
13,3D제품디자인과,3d제품디자인과
14,3D조형과,3d조형과
15,3D프린팅금형공학과,3d프린팅금형공학과
16,3D프린팅금형학과,3d프린팅금형학과
17,3D프린팅융합디자인과,3d프린팅융합디자인과
18,6차산업학과,6차산업학과
19,ABC과,abc과
20,ACE인재융합학부,ace인재융합학부
21,AIᆞSW계열,aisw계열
22,AIᆞSW학,aisw학
23,AIᆞ빅데이터과,ai빅데이터과
24,AIᆞ빅데이터학과,ai빅데이터학과
25,AI・데이터공학부,ai데이터공학부
26,AI・빅데이터학과,ai빅데이터학과
27,AI・소프트웨어학부(소프트웨어전공),ai소프트웨어학부소프트웨어전공
28,AI・소프트웨어학부(인공지능전공),ai소프트웨어학부인공지능전공
29,AI・전기공학과,ai전기공학과
30,AI・컴퓨터공학과,ai컴퓨터공학과
31,AI경영학과,ai경영학과
32,AI과,ai과
33,AI교통응용전공,ai교통응용전공
34,AI기기응용과,ai기기응용과
35,AI기반 e-모빌리티과,ai기반e모빌리티과
36,AI기술경영융합전공,ai기술경영융합전공
37,AI다문화상담과,ai다문화상담과
38,AI데이터엔지니어전공,ai데이터엔지니어전공
39,AI데이터융합전공,ai데이터융합전공
40,AI데이터융합학부,ai데이터융합학부
41,AI드론・전자과,ai드론전자과
42,AI드론과,ai드론과
43,AI드론학부,ai드론학부
44,AI디자인학과,ai디자인학과
45,AI로봇공학과,ai로봇공학과
46,AI로봇융합전공,ai로봇융합전공
47,AI로봇자동화과,ai로봇자동화과
48,AI로봇학과,ai로봇학과
49,AI메타버스과,ai메타버스과
50,AI모빌리티공학과,ai모빌리티공학과
51,AI미디어콘텐츠학과,ai미디어콘텐츠학과
52,AI미디어학과,ai미디어학과
53,AI미래융합학부,ai미래융합학부
54,AI미래자동차과,ai미래자동차과
55,AI반도체과,ai반도체과
56,AI반도체융합전공,ai반도체융합전공
57,AI반도체융합학부,ai반도체융합학부
58,AI반도체학부,ai반도체학부
59,AI범죄수사융합전공,ai범죄수사융합전공
60,AI보건의료학부,ai보건의료학부
61,AI보건정보관리학과,ai보건정보관리학과
62,AI부동산빅데이터학과,ai부동산빅데이터학과
63,AI빅데이터공학과,ai빅데이터공학과
64,AI빅데이터융합경영학과,ai빅데이터융합경영학과
65,AI빅데이터융합학과,ai빅데이터융합학과
66,AI빅데이터전공,ai빅데이터전공
67,AI빅데이터학과,ai빅데이터학과
68,AI빅데이터학부,ai빅데이터학부
69,AI사이버보안전공,ai사이버보안전공
70,AI산업안전시스템,ai산업안전시스템
71,AI서비스경영과,ai서비스경영과
72,AI서비스마케팅학과,ai서비스마케팅학과
73,AI소프트웨어공학과,ai소프트웨어공학과
74,AI소프트웨어과,ai소프트웨어과
75,AI소프트웨어융합과,ai소프트웨어융합과
76,AI소프트웨어융합학부,ai소프트웨어융합학부
77,AI소프트웨어학과,ai소프트웨어학과
78,AI소프트웨어학부,ai소프트웨어학부
79,AI수리학과,ai수리학과
80,AI스마트팜학과,ai스마트팜학과
81,AI시스템과,ai시스템과
82,AI시스템반도체학,ai시스템반도체학
83,AI영상보안학과,ai영상보안학과
84,AI웹서비스과,ai웹서비스과
85,AI융복합과,ai융복합과
86,AI융합경영학과,ai융합경영학과
87,AI융합과,ai융합과
88,AI융합교육원(공학),ai융합교육원공학
89,AI융합기계계열,ai융합기계계열
90,AI융합기계공학과,ai융합기계공학과
91,AI융합기계과,ai융합기계과
92,AI융합기계학과,ai융합기계학과
93,AI융합대학,ai융합대학
94,AI융합미디어창업학과,ai융합미디어창업학과
95,AI융합사회복지학과,ai융합사회복지학과
96,AI융합소프트웨어과,ai융합소프트웨어과
97,AI융합소프트웨어학과,ai융합소프트웨어학과
98,AI융합의료과,ai융합의료과
99,AI융합전공,ai융합전공
100,AI융합전기과,ai융합전기과
101,AI융합전자과,ai융합전자과
102,AI융합콘텐츠학과,ai융합콘텐츠학과
103,AI융합학과,ai융합학과
104,AI융합학부,ai융합학부
105,AI응용소프트웨어과,ai응용소프트웨어과
106,AI응용전기전자공학과,ai응용전기전자공학과
107,AI응용전기전자과,ai응용전기전자과
108,AI응용학과,ai응용학과
109,AI의료뷰티맞춤화장품과,ai의료뷰티맞춤화장품과
110,AI의료융합전공,ai의료융합전공
111,AI자동차학과,ai자동차학과
112,AI자동화과,ai자동화과
113,AI자동화로봇학과,ai자동화로봇학과
114,AI자동화설계공학과,ai자동화설계공학과
115,AI자동화시스템과,ai자동화시스템과
116,AI자율주행시스템공학과,ai자율주행시스템공학과
117,AI전기자동차학과,ai전기자동차학과
118,AI전자과,ai전자과
119,AI전자과(스마트융합전자),ai전자과스마트융합전자
120,AI정보공학과,ai정보공학과
