integrated_code,cert_id
7,M244
7,S010
13,T033
13,T070
13,T092
13,T099
13,T210
13,T213
21,M263
21,M264
21,M265
21,M274
21,M275
21,M276
21,M277
21,T088
21,T089
21,T625
21,T651
22,M107
22,M108
22,S008
22,S023
22,S024
22,S025
22,S026
22,S114
22,S133
22,S189
22,S190
22,S191
22,T394
22,T621
22,T622
22,T623
22,T636
22,T637
23,S008
23,S023
23,S024
23,S025
23,S026
23,S028
23,S030
23,S043
23,S114
23,S133
23,S135
23,S156
23,S165
23,S166
23,S167
23,T075
23,T076
23,T400
23,T401
23,T444
23,T445
23,T621
23,T622
23,T623
23,T636
23,T637
23,T638
24,M010
24,M011
24,M105
24,M106
24,M107
24,M108
24,S030
24,S114
24,S156
24,S189
24,S190
24,S191
24,T621
24,T622
24,T623
25,M047
25,M087
25,M088
25,M090
25,M093
25,S008
25,S030
25,S043
25,S133
25,S135
25,S156
26,M086
26,S078
26,S201
26,S202
27,M086
27,S078
27,S199
27,S201
27,T173
28,M086
28,S078
28,S153
28,S154
28,S174
28,S201
29,S068
29,S069
29,S070
29,S071
29,S072
29,S074
29,S116
29,S214
29,S215
30,T168
30,T169
30,T181
30,T350
30,T601
33,T003
33,T082
33,T123
33,T541
34,T001
34,T082
34,T468
34,T541
35,T103
35,T117
35,T168
35,T169
35,T181
35,T350
35,T460
35,T544
35,T601
37,S104
37,S105
37,S106
37,S107
37,S108
37,S109
37,S110
37,S111
37,S112
37,T075
37,T076
37,T363
38,T080
38,T267
38,T325
39,T003
39,T082
39,T123
39,T267
39,T541
41,T190
41,T265
41,T271
41,T337
41,T423
45,S031
45,S032
45,S033
45,S034
45,S035
45,S036
45,S037
45,S038
45,S039
45,S040
45,S041
45,S042
45,S076
45,S257
45,S259
46,S031
46,S032
46,S033
46,S034
46,S035
46,S036
46,S037
46,S038
46,S039
46,S040
46,S041
46,S042
46,S257
46,S261
48,S031
48,S032
48,S033
48,S034
48,S035
48,S036
48,S037
48,S038
48,S039
48,S040
48,S041
48,S042
48,S076
48,S259
48,T259
50,M097
50,T075
50,T076
51,T082
51,T335
51,T469
51,T541
54,M056
54,M057
54,M058
54,S104
54,S105
54,S106
54,S107
54,S108
54,S109
54,S110
54,S111
54,S112
54,T088
54,T089
54,T400
54,T401
55,T250
55,T253
56,M220
57,T400
57,T401
59,M220
59,S237
59,S238
59,S239
59,S243
59,S244
59,S245
59,T035
59,T036
59,T400
59,T401
61,S008
61,T031
61,T256
61,T257
61,T321
68,S214
68,S215
69,M269
69,M270
69,M271
69,M272
69,M273
69,S214
69,S215
69,S247
70,S023
70,S024
70,S025
70,S026
70,S043
70,S114
70,S189
70,S190
70,S191
72,M064
72,M139
72,M140
72,S016
72,S017
72,S018
72,S019
72,S020
72,S021
72,S023
72,S024
72,S025
72,S026
72,S043
72,S114
72,S131
72,S189
72,S190
72,S191
72,T400
72,T401
72,T636
72,T637
72,T638
74,M121
74,M257
74,M258
74,S031
74,S032
74,S033
74,S034
74,S035
74,S036
74,S037
74,S038
74,S039
74,S040
74,S041
74,S042
77,T267
77,T372
77,T373
78,T267
78,T274
78,T372
78,T373
79,T022
79,T023
79,T270
79,T274
79,T275
79,T279
82,M119
82,S133
82,S135
82,S165
82,S166
82,S167
83,M047
83,M079
83,M080
83,M081
83,M087
83,M088
83,M090
83,M093
83,M104
83,M105
83,M106
83,M107
83,M108
83,M202
83,M203
83,S030
83,S133
83,S135
83,S156
83,S165
83,S166
83,S167
83,T621
83,T622
83,T623
85,T134
85,T276
85,T290
85,T398
85,T592
85,T645
86,T011
86,T200
86,T202
86,T206
86,T241
86,T287
86,T307
86,T410
86,T568
87,T085
87,T134
87,T207
87,T290
87,T293
87,T398
87,T533
87,T588
87,T592
87,T645
88,T011
88,T200
88,T202
88,T206
88,T241
88,T287
88,T307
88,T410
88,T568
89,T085
89,T243
89,T290
89,T293
89,T592
93,M223
94,T139
96,T168
96,T274
96,T276
102,M222
102,S139
102,S268
103,M222
103,S139
103,S222
103,S268
104,T018
104,T306
104,T307
104,T546
106,T451
106,T454
106,T511
107,S008
107,S023
107,S024
107,S025
107,S026
107,S030
107,S043
107,S114
107,S189
107,S190
107,S191
111,T295
111,T316
114,S153
114,S154
117,S008
117,S029
117,T321
118,S008
118,T097
118,T208
118,T209
118,T217
118,T227
118,T256
118,T257
118,T321
118,T323
120,M228
120,M243
120,T003
120,T079
120,T080
120,T082
120,T325
121,T325
122,M012
122,S031
122,S182
122,S257
122,S259
124,M012
124,M142
124,M144
124,M231
124,S031
124,S076
126,S006
126,T064
126,T065
126,T419
126,T594
127,S032
127,S033
127,S034
127,S037
127,S040
127,S041
127,S042
127,S076
128,M243
128,S116
131,M142
131,M144
131,M231
132,M013
132,S032
132,S182
132,S257
132,S259
134,M013
134,M142
134,M144
134,M231
134,S032
134,S076
135,S153
135,S154
135,S194
135,S196
140,S153
140,S154
143,S114
143,S189
143,S190
143,S191
143,T636
143,T637
144,M127
144,T079
144,T335
144,T468
144,T541
148,T088
148,T089
148,T335
148,T469
148,T541
148,T652
149,M056
149,M057
149,M058
149,T335
149,T651
150,T343
150,T344
150,T345
150,T346
151,T330
151,T333
151,T409
151,T424
151,T568
151,T607
151,T632
152,T204
152,T290
152,T592
152,T609
152,T635
155,T001
155,T190
155,T220
155,T468
158,M215
158,M240
158,M241
158,S078
158,S201
163,M220
163,M221
163,M226
164,M269
164,M270
164,M271
164,M272
164,M273
164,S214
164,S215
164,S247
165,M221
165,S214
165,S215
166,M204
166,M259
166,M260
166,S214
166,S215
166,T088
166,T089
167,M224
167,S031
167,S032
167,S033
167,S034
167,S035
167,S036
167,S037
167,S038
167,S039
167,S040
167,S041
167,S042
167,S076
167,S257
167,S259
167,T076
169,M224
169,S068
169,S069
169,S070
169,S071
169,S072
169,S074
169,S116
172,M004
172,M005
172,M006
172,M007
172,M036
172,M037
172,M038
172,M115
172,M235
172,S023
172,S024
172,S025
172,S026
172,S114
172,S189
172,S190
172,S191
172,T625
172,T649
172,T651
172,T654
177,S119
177,S124
177,T358
177,T515
177,T537
178,S104
178,S105
178,S106
178,S107
178,S108
178,S109
178,S110
178,S111
178,S112
179,M142
179,M144
179,M231
179,M248
179,S038
181,S104
181,S105
181,S106
181,S107
181,S108
181,S109
181,S110
181,S111
181,S112
181,T362
184,S116
186,T345
186,T346
190,T020
190,T317
190,T350
190,T419
190,T420
190,T461
190,T487
195,T435
195,T607
195,T632
196,S118
196,S119
199,S104
199,S105
199,S106
199,S107
199,S108
199,S109
199,S110
199,S111
199,S112
199,T082
200,S104
200,S105
200,S106
200,S107
200,S108
200,S109
200,S110
200,S111
200,S112
200,T363
200,T524
202,S008
202,S028
202,S029
202,S043
202,S122
202,S156
203,S008
203,S028
203,S029
203,S043
203,S122
203,S124
203,S156
203,S275
208,S023
208,S024
208,S025
208,S026
208,S189
208,S190
208,S191
210,M215
210,M240
210,M241
210,S012
210,S126
210,S127
210,S128
210,S188
210,S197
213,M068
213,S011
213,S126
213,S127
213,S128
213,S197
214,M068
214,M145
214,M232
214,M234
214,M255
214,S126
214,S127
214,S128
214,S197
215,S188
215,T119
215,T317
215,T415
215,T448
215,T461
216,M123
216,T080
216,T267
216,T373
216,T374
220,S008
220,S016
220,S017
220,S018
220,S019
220,S020
220,S021
220,S029
220,S229
221,S008
221,S016
221,S017
221,S018
221,S019
221,S020
221,S021
221,S029
221,S229
226,S035
