line	자격증명
9	광고도장기능사
226	경영지도사2차
365	학예사1급
366	학예사2급
367	학예사3급
369	문화재수리기능자
450	방송영상전문인
451	방송정보관리사
461	조명산업디자이너자격인증서
462	음향전문사
464	MAX 기술자격
465	디지털영상편집
466	영상(편집)전문인
483	철도토목산업기사
489	철도교통관제사
501	철도토목산업기사
528	항공운항관리사
530	항공운항관리사
599	국외여행인솔자
663	도로및항공기술사
707	철도토목산업기사
743	도로및항공기술사
787	철도토목산업기사
822	도로및항공기술사
861	전자기기기능장
976	전상응용건축제도기능사
1003	컨데이너크레인운전기능사
1010	전자기기기능사
1045	기술거래사
1078	철도토목산업기사
1265	건설기계설비기술사
1318	메카트로닉스기사
1350	철도토목산업기사
1352	생산자동화산업기사
1362	온실가스관리산업기사
1366	농림토양평가관리산업기사
1373	자연생태복권기사
1377	문화재수리기술자(조경)
1378	문화재수리기능자(조경공)
1380	수목치료기술사
1386	수목보호기술자격기술자
1426	건설기계조종사면허(천공기)
1436	건설기계조종사면허(지게차)
1473	기계설계기사
1474	메카트로닉스기사
1475	프레스금형설계기사
1476	사출금형설계기사
1478	치공구설계산업기사
1482	기계설계기사
1484	치공구설계산업기사
1489	금형제작기능장
1491	프레스금형설계기사
1506	금형제작기능장
1511	기계가공조립산업기사
1521	특수용접기능사
1524	메카트로닉스기사
1531	생산자동화산업기사
1532	생산자동화기능사
1585	지역난방설비관리사
1602	조선기사
1637	기계설계기사
1638	메카트로닉스기사
1641	기계가공조립산업기사
1657	철도토목산업기사
1695	조선기사
1703	동력기계정비기능사
1705	전산응용조선제도기능사
1708	특수용접기능사
1721	조선기사
1738	특수용접기능사
1747	전산응용조선제도기능사
1749	동력기계정비기능사
1756	조선기사
1760	특수용접기능사
1761	동력기계정비기능사
1763	전산응용조선제도기능사
1771	조선기사
1775	특수용접기능사
1776	동력기계정비기능사
1778	전산응용조선제도기능사
1781	특수용접기능사
1782	동력기계정비기능사
1784	전자기파통신기능사
1789	조선기사
1800	조선기사
1808	특수용접기능사
1809	동력기계정비기능사
1813	전산응용조선제도기능사
1814	용접사기량자격
1815	수중용접사
1828	조선기사
1840	생산자동화산업기사
1843	생산자동화기능사
1849	항공기체정비기능사
1850	항공기관정비기능사
1851	항공장비정비기능사
1852	항공전자정비기능사
1858	항공전기.전자정비기능사
1860	항공기관정비기능사
1861	항공기체정비기능사
1862	항공장비정비기능사
1863	항공전자정비기능사
1868	항공장구관리사1급
1869	항공장구관리사2급
1870	항공장구관리사3급
1871	항공정비사(비행기)
1872	항공정비사(전자.전기.계기)
1873	항공정비사(헬리콥터)
1875	금형제작기능장
1876	사출금형설계기사
1877	프레스금형설계기사
1889	금형제작기능장
1892	조선기사
1894	사출금형설계기사
